месяц,продукт,регион,сегмент,канал,заявки,одобрено,выдано,средний_чек_тыс_руб,расход_на_маркетинг_тыс_руб,доля_цифровых_заявок_проц,просрочка_30дн_проц,чистый_доход_млн_руб
2024-01-01,Вклад,Поволжье,Зарплатный,Офис,421,374,343,957.0,1577.6,65.6,0.2,2.262
2024-01-01,Вклад,Поволжье,Массовый,Мобильное приложение,484,402,357,811.7,1848.5,58.4,1.1,1.852
2024-01-01,Вклад,Поволжье,Премиум,Мобильное приложение,331,308,281,1345.5,1531.1,61.8,0.2,2.514
2024-01-01,Вклад,Северо-Запад,Зарплатный,Мобильное приложение,434,376,351,952.0,1650.9,68.8,0.69,2.113
2024-01-01,Вклад,Северо-Запад,Массовый,Партнерский канал,485,421,376,850.3,1444.9,64.9,1.35,1.941
2024-01-01,Вклад,Северо-Запад,Премиум,Мобильное приложение,299,272,250,1477.2,1476.8,71.3,0.2,2.556
2024-01-01,Вклад,Сибирь,Зарплатный,Партнерский канал,389,359,328,914.4,1408.2,64.5,0.85,1.792
2024-01-01,Вклад,Сибирь,Массовый,Офис,437,378,351,914.8,1604.3,65.3,0.86,1.779
2024-01-01,Вклад,Сибирь,Премиум,Офис,226,205,184,1367.7,1234.6,54.5,0.2,1.428
2024-01-01,Вклад,Урал,Зарплатный,Офис,354,305,285,1025.5,1309.9,62.0,0.2,1.624
2024-01-01,Вклад,Урал,Массовый,Мобильное приложение,432,390,359,864.7,1674.9,68.3,1.36,1.708
2024-01-01,Вклад,Урал,Премиум,Мобильное приложение,296,264,243,1211.6,1314.5,64.5,0.2,1.929
2024-01-01,Вклад,Центр,Зарплатный,Партнерский канал,529,477,450,1038.6,2055.1,76.6,0.2,2.953
2024-01-01,Вклад,Центр,Массовый,Офис,619,526,465,,2114.3,62.0,0.96,2.199
2024-01-01,Вклад,Центр,Премиум,Мобильное приложение,288,271,241,1494.5,1682.8,68.8,0.2,2.386
2024-01-01,Ипотека,Поволжье,Зарплатный,Партнерский канал,397,204,139,4308.9,5569.2,45.7,0.6,5.329
2024-01-01,Ипотека,Поволжье,Массовый,Мобильное приложение,450,211,138,4178.3,6203.0,44.8,2.52,4.333
2024-01-01,Ипотека,Поволжье,Премиум,Мобильное приложение,405,201,134,5180.4,5138.4,34.8,1.32,6.853
2024-01-01,Ипотека,Северо-Запад,Зарплатный,Офис,453,245,166,4927.1,5756.9,57.1,1.55,8.309
2024-01-01,Ипотека,Северо-Запад,Массовый,Офис,407,191,130,3922.4,4728.4,54.0,2.28,4.166
2024-01-01,Ипотека,Северо-Запад,Премиум,Мобильное приложение,310,154,104,6106.8,4694.0,48.5,1.21,6.348
2024-01-01,Ипотека,Сибирь,Зарплатный,Партнерский канал,327,165,107,4176.8,4750.5,38.9,1.65,3.537
2024-01-01,Ипотека,Сибирь,Массовый,Мобильное приложение,388,179,115,3285.1,4724.1,48.6,2.02,2.608
2024-01-01,Ипотека,Сибирь,Премиум,Офис,312,159,105,6031.5,4238.0,38.5,0.66,6.576
2024-01-01,Ипотека,Урал,Зарплатный,Офис,424,214,148,4121.7,5140.8,46.3,1.11,5.66
2024-01-01,Ипотека,Урал,Массовый,Мобильное приложение,433,217,145,4050.6,5022.0,50.7,2.0,5.274
2024-01-01,Ипотека,Урал,Премиум,Мобильное приложение,351,188,127,7127.3,4470.3,47.0,0.73,9.795
2024-01-01,Ипотека,Центр,Зарплатный,Офис,476,250,162,4495.9,6827.4,56.2,1.49,6.332
2024-01-01,Ипотека,Центр,Массовый,Партнерский канал,568,303,205,4023.8,7112.4,57.3,1.91,7.698
2024-01-01,Ипотека,Центр,Премиум,Мобильное приложение,404,222,137,6444.8,5838.5,47.5,0.86,9.134
2024-01-01,Кредитная карта,Поволжье,Зарплатный,Мобильное приложение,769,554,450,,3838.5,73.8,2.95,0.828
2024-01-01,Кредитная карта,Поволжье,Массовый,Мобильное приложение,856,599,489,95.9,3636.0,77.2,4.18,0.697
2024-01-01,Кредитная карта,Поволжье,Премиум,Офис,478,349,279,175.0,3381.4,71.4,2.69,1.132
2024-01-01,Кредитная карта,Северо-Запад,Зарплатный,Офис,652,489,396,,3180.4,80.3,3.48,1.047
2024-01-01,Кредитная карта,Северо-Запад,Массовый,Офис,841,600,475,109.0,3716.0,82.5,4.52,1.111
2024-01-01,Кредитная карта,Северо-Запад,Премиум,Офис,457,339,272,186.0,3265.8,74.4,2.29,1.201
2024-01-01,Кредитная карта,Сибирь,Зарплатный,Мобильное приложение,631,461,368,225.7,3428.3,70.4,3.69,0.887
2024-01-01,Кредитная карта,Сибирь,Массовый,Мобильное приложение,718,504,388,107.0,2763.1,71.8,4.11,0.851
2024-01-01,Кредитная карта,Сибирь,Премиум,Офис,357,259,199,171.5,2462.3,64.8,2.72,0.347
2024-01-01,Кредитная карта,Урал,Зарплатный,Мобильное приложение,646,451,348,113.6,3235.6,76.7,3.05,0.577
2024-01-01,Кредитная карта,Урал,Массовый,Офис,769,555,436,114.5,3340.9,69.8,4.47,1.081
2024-01-01,Кредитная карта,Урал,Премиум,Мобильное приложение,450,338,263,173.8,2831.8,69.8,2.47,1.11
2024-01-01,Кредитная карта,Центр,Зарплатный,Мобильное приложение,909,689,557,125.8,,80.2,3.53,1.498
2024-01-01,Кредитная карта,Центр,Массовый,Мобильное приложение,872,629,490,123.4,4158.2,80.3,4.19,1.298
2024-01-01,Кредитная карта,Центр,Премиум,Партнерский канал,546,417,331,183.0,3834.0,71.6,2.68,1.649
2024-01-01,Потребительский кредит,Поволжье,Зарплатный,Мобильное приложение,621,400,298,362.6,4111.5,64.9,4.08,1.474
2024-01-01,Потребительский кредит,Поволжье,Массовый,Офис,751,488,345,362.8,5001.4,55.7,5.23,1.642
2024-01-01,Потребительский кредит,Поволжье,Премиум,Мобильное приложение,390,242,176,576.5,3468.2,57.2,3.39,1.959
2024-01-01,Потребительский кредит,Северо-Запад,Зарплатный,Офис,534,342,259,454.9,3768.6,58.5,4.06,2.249
2024-01-01,Потребительский кредит,Северо-Запад,Массовый,Мобильное приложение,683,437,321,406.8,3855.1,56.8,4.99,2.455
2024-01-01,Потребительский кредит,Северо-Запад,Премиум,Офис,382,252,191,642.2,3563.3,60.9,3.07,2.332
2024-01-01,Потребительский кредит,Сибирь,Зарплатный,Партнерский канал,491,319,231,410.7,3210.6,61.7,3.62,1.601
2024-01-01,Потребительский кредит,Сибирь,Массовый,Мобильное приложение,604,395,307,347.9,4304.2,52.2,4.87,1.47
2024-01-01,Потребительский кредит,Сибирь,Премиум,Офис,335,223,163,598.7,3179.2,54.7,3.52,1.776
2024-01-01,Потребительский кредит,Урал,Зарплатный,Мобильное приложение,650,411,289,427.0,4494.3,59.0,4.21,2.221
2024-01-01,Потребительский кредит,Урал,Массовый,Мобильное приложение,667,411,301,412.3,4369.1,56.6,4.62,2.083
2024-01-01,Потребительский кредит,Урал,Премиум,Партнерский канал,302,189,136,589.3,3174.3,55.4,3.47,0.786
2024-01-01,Потребительский кредит,Центр,Зарплатный,Офис,700,465,342,,4767.3,64.5,3.74,3.06
2024-01-01,Потребительский кредит,Центр,Массовый,Мобильное приложение,883,609,452,405.3,5333.1,69.0,4.25,3.919
2024-01-01,Потребительский кредит,Центр,Премиум,Мобильное приложение,540,361,260,615.6,4396.4,59.5,3.16,3.441
2024-02-01,Вклад,Поволжье,Зарплатный,Офис,427,386,345,1009.9,1872.8,69.6,0.2,1.792
2024-02-01,Вклад,Поволжье,Массовый,Мобильное приложение,524,460,414,814.3,1893.5,66.9,1.42,1.88
2024-02-01,Вклад,Поволжье,Премиум,Офис,260,232,214,1323.7,1461.6,60.0,0.2,1.803
2024-02-01,Вклад,Северо-Запад,Зарплатный,Мобильное приложение,422,379,351,1000.2,1727.9,64.6,0.52,1.915
2024-02-01,Вклад,Северо-Запад,Массовый,Офис,482,430,385,826.1,1720.7,67.8,1.59,1.715
2024-02-01,Вклад,Северо-Запад,Премиум,Партнерский канал,234,219,207,1500.2,1458.0,67.0,0.2,2.04
2024-02-01,Вклад,Сибирь,Зарплатный,Мобильное приложение,401,367,331,894.4,1469.0,64.4,0.2,1.922
2024-02-01,Вклад,Сибирь,Массовый,Мобильное приложение,436,373,351,829.8,1543.5,71.6,1.34,1.686
2024-02-01,Вклад,Сибирь,Премиум,Партнерский канал,217,193,170,1185.1,1323.5,56.1,0.2,1.307
2024-02-01,Вклад,Урал,Зарплатный,Мобильное приложение,377,345,312,1019.5,1658.1,69.0,0.54,1.736
2024-02-01,Вклад,Урал,Массовый,Мобильное приложение,439,383,348,946.9,1400.0,58.4,1.62,2.103
2024-02-01,Вклад,Урал,Премиум,Мобильное приложение,247,218,196,1411.9,1509.0,60.3,0.2,1.723
2024-02-01,Вклад,Центр,Зарплатный,Офис,484,447,405,1194.0,2184.3,69.5,0.3,3.2
2024-02-01,Вклад,Центр,Массовый,Мобильное приложение,636,564,486,968.8,2432.9,67.8,,2.573
2024-02-01,Вклад,Центр,Премиум,Офис,288,260,231,1428.5,1903.7,65.6,0.2,2.073
2024-02-01,Ипотека,Поволжье,Зарплатный,Мобильное приложение,478,222,147,4068.9,6111.5,41.4,,4.898
2024-02-01,Ипотека,Поволжье,Массовый,Мобильное приложение,485,227,149,3623.9,6135.8,47.9,,4.052
