client_id,avg_monthly_spend_rub,credit_limit_rub,utilization_pct,full_pay_ratio_pct,overdue_events_6m,cash_advance_share_pct,installment_share_pct,digital_engagement_index,deposit_balance_rub,travel_spend_share_pct,interest_income_rub,interchange_income_rub,fee_income_rub,risk_cost_rub,total_margin_rub,latent_cluster_name,kmeans_cluster,pc1,pc2,pc3,recommended_action
CL00001,171811.18,188992.3,34.82,97.98,0.3,2.65,5.74,79.0,218301.38,36.01,36.44,1485.41,151.76,951.48,722.12,"Много тратят, мало маржи",0,-2.1072434547306558,-1.0945053774557234,1.5592051045373259,Предложить премиальный travel-пакет или инвестиционный оффер
CL00002,155601.97,268457.05,35.42,94.65,0.11,1.71,6.47,87.8,228256.82,29.02,89.72,1276.73,158.85,194.9,1330.4,"Много тратят, мало маржи",0,-2.0082349653390925,-1.425305659162149,0.9842009126666762,Предложить премиальный travel-пакет или инвестиционный оффер
CL00003,171753.48,255032.46,33.48,96.09,0.11,0.81,2.12,84.0,502314.69,40.36,72.71,1280.73,55.13,190.46,1218.11,"Много тратят, мало маржи",0,-3.0531196529733706,-0.9690772888204825,1.068135789954255,Предложить премиальный travel-пакет или инвестиционный оффер
CL00004,151155.28,282825.82,34.42,100.0,0.0,3.5,0.53,84.5,245970.33,25.98,0.0,1289.73,10.51,107.88,1192.37,"Много тратят, мало маржи",0,-2.0686136494062763,-1.084052984200155,0.8422197894648314,Предложить премиальный travel-пакет или инвестиционный оффер
CL00005,146107.61,225366.65,16.68,99.1,0.0,5.02,6.65,89.7,98270.2,47.03,7.14,1267.14,116.8,140.44,1250.65,"Много тратят, мало маржи",0,-2.6729936369059732,-1.4357329542880408,1.14386605507599,Предложить премиальный travel-пакет или инвестиционный оффер
CL00006,163521.33,196598.67,31.65,95.41,0.0,0.0,4.66,84.1,403670.08,44.13,44.81,1603.25,87.36,0.0,1735.42,"Много тратят, мало маржи",0,-3.022877158934094,-1.3080005370726326,0.7263979240532492,Предложить премиальный travel-пакет или инвестиционный оффер
CL00007,128342.97,343685.78,38.87,94.89,0.16,0.0,1.97,86.3,442831.77,24.1,182.4,1342.66,22.11,415.33,1131.84,"Много тратят, мало маржи",0,-2.201094863478209,-0.4926650954668162,0.5891380794925968,Предложить премиальный travel-пакет или инвестиционный оффер
CL00008,147167.1,161883.81,25.68,97.4,0.04,3.59,5.02,72.3,196157.47,25.62,17.63,1302.7,52.93,183.28,1189.98,"Много тратят, мало маржи",0,-1.814235743620482,-0.8051292930459318,0.5572033380857861,Предложить премиальный travel-пакет или инвестиционный оффер
CL00009,124272.99,136700.29,30.9,92.03,0.32,0.25,8.92,76.6,424055.76,44.73,54.22,980.39,172.63,937.2,270.04,"Много тратят, мало маржи",0,-2.6354704948412198,0.08149769429452217,1.0796151426267595,Предложить премиальный travel-пакет или инвестиционный оффер
CL00010,157659.53,173425.48,44.65,96.01,0.27,2.11,3.98,74.6,313722.7,60.0,82.13,1222.56,99.89,557.62,846.96,"Много тратят, мало маржи",0,-2.8467410881035735,-0.714041141523024,1.4571382181606127,Предложить премиальный travel-пакет или инвестиционный оффер
CL00011,169023.37,185925.71,49.62,96.76,0.41,0.0,8.59,93.7,253864.83,40.41,59.32,1263.79,153.57,390.63,1086.05,"Много тратят, мало маржи",0,-2.2089576132952624,-1.6647492907572536,1.7885636727379715,Предложить премиальный travel-пакет или инвестиционный оффер
CL00012,137290.35,163890.93,47.71,96.2,0.0,2.32,3.21,82.6,343752.62,36.32,46.37,1343.81,27.21,64.93,1352.46,"Много тратят, мало маржи",0,-2.249742556734377,-0.8944944783438836,0.612009205957896,Предложить премиальный travel-пакет или инвестиционный оффер
CL00013,146261.74,241665.16,37.19,95.99,0.17,0.95,0.02,87.0,230130.15,57.31,55.05,1129.66,0.24,424.6,760.34,"Много тратят, мало маржи",0,-3.0065746904754675,-0.9065689141776976,1.5775098538723753,Предложить премиальный travel-пакет или инвестиционный оффер
CL00014,146362.79,233525.09,42.45,99.07,0.07,0.0,4.04,61.4,229396.85,43.81,19.78,1060.42,91.74,153.82,1018.13,"Много тратят, мало маржи",0,-2.211224965811836,-0.4763955549254469,0.6632553413958874,Предложить премиальный travel-пакет или инвестиционный оффер
CL00015,109179.64,291716.6,15.75,100.0,0.41,0.0,6.26,72.0,340363.39,21.81,0.0,1071.15,44.09,885.1,230.14,"Много тратят, мало маржи",0,-1.979634204086922,0.4964747912836963,0.7202020715645209,Предложить премиальный travel-пакет или инвестиционный оффер
CL00016,139804.59,352146.04,33.55,96.99,0.07,3.47,7.83,65.0,417388.64,31.25,89.82,1355.26,152.67,229.47,1368.29,"Много тратят, мало маржи",0,-2.104357691821706,-0.3176303110634328,0.1441841679701255,Предложить премиальный travel-пакет или инвестиционный оффер
